Consumo;Dia;Mes;Año;DiaSemana;Feriado
716;20;10;1995;Viernes;0
605;21;10;1995;Sábado;1
555;22;10;1995;Domingo;1
680;23;10;1995;Lunes;0
713;24;10;1995;Martes;0
710;25;10;1995;Miércoles;0
666;26;10;1995;Jueves;0
634;27;10;1995;Viernes;0
578;28;10;1995;Sábado;0
497;29;10;1995;Domingo;1
589;30;10;1995;Lunes;0
577;31;10;1995;Martes;1
565;1;11;1995;Miércoles;1
673;2;11;1995;Jueves;0
659;3;11;1995;Viernes;0
632;4;11;1995;Sábado;0
530;5;11;1995;Domingo;1
668;6;11;1995;Lunes;1
767;7;11;1995;Martes;0
633;8;11;1995;Miércoles;0
653;9;11;1995;Jueves;0
592;10;11;1995;Viernes;0
470;11;11;1995;Sábado;0
452;12;11;1995;Domingo;1
562;13;11;1995;Lunes;0
553;14;11;1995;Martes;0
536;15;11;1995;Miércoles;0
535;16;11;1995;Jueves;0
514;17;11;1995;Viernes;0
481;18;11;1995;Sábado;0
450;19;11;1995;Domingo;1
552;20;11;1995;Lunes;0
590;21;11;1995;Martes;0
594;22;11;1995;Miércoles;0
546;23;11;1995;Jueves;1
666;24;11;1995;Viernes;0
600;25;11;1995;Sábado;0
572;26;11;1995;Domingo;1
525;27;11;1995;Lunes;0
607;28;11;1995;Martes;0
605;29;11;1995;Miércoles;0
568;30;11;1995;Jueves;0
544;1;12;1995;Viernes;0
528;2;12;1995;Sábado;0
488;3;12;1995;Domingo;1
640;4;12;1995;Lunes;0
546;5;12;1995;Martes;0
583;6;12;1995;Miércoles;0
516;7;12;1995;Jueves;0
460;8;12;1995;Viernes;1
475;9;12;1995;Sábado;0
471;10;12;1995;Domingo;1
581;11;12;1995;Lunes;0
582;12;12;1995;Martes;0
569;13;12;1995;Miércoles;0
632;14;12;1995;Jueves;0
655;15;12;1995;Viernes;0
595;16;12;1995;Sábado;0
531;17;12;1995;Domingo;1
558;18;12;1995;Lunes;1
467;19;12;1995;Martes;0
472;20;12;1995;Miércoles;0
555;21;12;1995;Jueves;0
523;22;12;1995;Viernes;0
468;23;12;1995;Sábado;0
400;24;12;1995;Domingo;1
335;25;12;1995;Lunes;1
379;26;12;1995;Martes;0
389;27;12;1995;Miércoles;0
437;28;12;1995;Jueves;0
426;29;12;1995;Viernes;0
451;30;12;1995;Sábado;0
400;31;12;1995;Domingo;1
354;1;1;1996;Lunes;1
395;2;1;1996;Martes;0
466;3;1;1996;Miércoles;0
519;4;1;1996;Jueves;0
516;5;1;1996;Viernes;0
512;6;1;1996;Sábado;0
526;7;1;1996;Domingo;1
580;8;1;1996;Lunes;0
628;9;1;1996;Martes;0
596;10;1;1996;Miércoles;0
555;11;1;1996;Jueves;0
557;12;1;1996;Viernes;0
525;13;1;1996;Sábado;0
453;14;1;1996;Domingo;1
551;15;1;1996;Lunes;0
495;16;1;1996;Martes;0
543;17;1;1996;Miércoles;0
489;18;1;1996;Jueves;0
472;19;1;1996;Viernes;0
420;20;1;1996;Sábado;0
408;21;1;1996;Domingo;1
503;22;1;1996;Lunes;0
468;23;1;1996;Martes;0
510;24;1;1996;Miércoles;0
536;25;1;1996;Jueves;0
536;26;1;1996;Viernes;0
527;27;1;1996;Sábado;0
459;28;1;1996;Domingo;1
523;29;1;1996;Lunes;0
523;30;1;1996;Martes;0
497;31;1;1996;Miércoles;0
470;1;2;1996;Jueves;0
446;2;2;1996;Viernes;0
503;3;2;1996;Sábado;0
485;4;2;1996;Domingo;1
523;5;2;1996;Lunes;0
498;6;2;1996;Martes;0
483;7;2;1996;Miércoles;0
520;8;2;1996;Jueves;0
542;9;2;1996;Viernes;0
540;10;2;1996;Sábado;0
434;11;2;1996;Domingo;1
457;12;2;1996;Lunes;0
513;13;2;1996;Martes;0
502;14;2;1996;Miércoles;0
506;15;2;1996;Jueves;0
477;16;2;1996;Viernes;0
482;17;2;1996;Sábado;0
438;18;2;1996;Domingo;1
524;19;2;1996;Lunes;0
530;20;2;1996;Martes;0
564;21;2;1996;Miércoles;0
615;22;2;1996;Jueves;0
607;23;2;1996;Viernes;0
636;24;2;1996;Sábado;0
564;25;2;1996;Domingo;1
611;26;2;1996;Lunes;0
613;27;2;1996;Martes;0
590;28;2;1996;Miércoles;0
525;29;2;1996;Jueves;0
550;1;3;1996;Viernes;0
519;2;3;1996;Sábado;0
489;3;3;1996;Domingo;1
579;4;3;1996;Lunes;0
529;5;3;1996;Martes;0
556;6;3;1996;Miércoles;0
610;7;3;1996;Jueves;0
642;8;3;1996;Viernes;0
572;9;3;1996;Sábado;0
478;10;3;1996;Domingo;1
567;11;3;1996;Lunes;0
721;12;3;1996;Martes;0
668;13;3;1996;Miércoles;0
648;14;3;1996;Jueves;0
693;15;3;1996;Viernes;0
605;16;3;1996;Sábado;0
558;17;3;1996;Domingo;1
594;18;3;1996;Lunes;0
565;19;3;1996;Martes;0
577;20;3;1996;Miércoles;0
616;21;3;1996;Jueves;0
597;22;3;1996;Viernes;0
495;23;3;1996;Sábado;0
580;24;3;1996;Domingo;1
717;25;3;1996;Lunes;0
770;26;3;1996;Martes;0
730;27;3;1996;Miércoles;0
675;28;3;1996;Jueves;0
658;29;3;1996;Viernes;0
601;30;3;1996;Sábado;0
592;31;3;1996;Domingo;1
719;1;4;1996;Lunes;0
742;2;4;1996;Martes;0
720;3;4;1996;Miércoles;0
722;4;4;1996;Jueves;0
668;5;4;1996;Viernes;1
644;6;4;1996;Sábado;0
671;7;4;1996;Domingo;1
776;8;4;1996;Lunes;0
726;9;4;1996;Martes;0
657;10;4;1996;Miércoles;0
