Consumo,fecha
716,1995/10/20
605,1995/10/21
555,1995/10/22
680,1995/10/23
713,1995/10/24
710,1995/10/25
666,1995/10/26
634,1995/10/27
578,1995/10/28
497,1995/10/29
589,1995/10/30
577,1995/10/31
565,1995/11/01
673,1995/11/02
659,1995/11/03
632,1995/11/04
530,1995/11/05
668,1995/11/06
767,1995/11/07
633,1995/11/08
653,1995/11/09
592,1995/11/10
470,1995/11/11
452,1995/11/12
562,1995/11/13
553,1995/11/14
536,1995/11/15
535,1995/11/16
514,1995/11/17
481,1995/11/18
450,1995/11/19
552,1995/11/20
590,1995/11/21
594,1995/11/22
546,1995/11/23
666,1995/11/24
600,1995/11/25
572,1995/11/26
525,1995/11/27
607,1995/11/28
605,1995/11/29
568,1995/11/30
544,1995/12/01
528,1995/12/02
488,1995/12/03
640,1995/12/04
546,1995/12/05
583,1995/12/06
516,1995/12/07
460,1995/12/08
475,1995/12/09
471,1995/12/10
581,1995/12/11
582,1995/12/12
569,1995/12/13
632,1995/12/14
655,1995/12/15
595,1995/12/16
531,1995/12/17
558,1995/12/18
467,1995/12/19
472,1995/12/20
555,1995/12/21
523,1995/12/22
468,1995/12/23
400,1995/12/24
335,1995/12/25
379,1995/12/26
389,1995/12/27
437,1995/12/28
426,1995/12/29
451,1995/12/30
400,1995/12/31
354,1996/01/01
395,1996/01/02
466,1996/01/03
519,1996/01/04
516,1996/01/05
512,1996/01/06
526,1996/01/07
580,1996/01/08
628,1996/01/09
596,1996/01/10
555,1996/01/11
557,1996/01/12
525,1996/01/13
453,1996/01/14
551,1996/01/15
495,1996/01/16
543,1996/01/17
489,1996/01/18
472,1996/01/19
420,1996/01/20
408,1996/01/21
503,1996/01/22
468,1996/01/23
510,1996/01/24
536,1996/01/25
536,1996/01/26
527,1996/01/27
459,1996/01/28
523,1996/01/29
523,1996/01/30
497,1996/01/31
470,1996/02/01
446,1996/02/02
503,1996/02/03
485,1996/02/04
523,1996/02/05
498,1996/02/06
483,1996/02/07
520,1996/02/08
542,1996/02/09
540,1996/02/10
434,1996/02/11
457,1996/02/12
513,1996/02/13
502,1996/02/14
506,1996/02/15
477,1996/02/16
482,1996/02/17
438,1996/02/18
524,1996/02/19
530,1996/02/20
564,1996/02/21
615,1996/02/22
607,1996/02/23
636,1996/02/24
564,1996/02/25
611,1996/02/26
613,1996/02/27
590,1996/02/28
525,1996/02/29
550,1996/03/01
519,1996/03/02
489,1996/03/03
579,1996/03/04
529,1996/03/05
556,1996/03/06
610,1996/03/07
642,1996/03/08
572,1996/03/09
478,1996/03/10
567,1996/03/11
721,1996/03/12
668,1996/03/13
648,1996/03/14
693,1996/03/15
605,1996/03/16
558,1996/03/17
594,1996/03/18
565,1996/03/19
577,1996/03/20
616,1996/03/21
597,1996/03/22
495,1996/03/23
580,1996/03/24
717,1996/03/25
770,1996/03/26
730,1996/03/27
675,1996/03/28
658,1996/03/29
601,1996/03/30
592,1996/03/31
719,1996/04/01
742,1996/04/02
720,1996/04/03
722,1996/04/04
668,1996/04/05
644,1996/04/06
671,1996/04/07
776,1996/04/08
726,1996/04/09
657,1996/04/10
691,1996/04/11
660,1996/04/12
668,1996/04/13
644,1996/04/14
702,1996/04/15
703,1996/04/16
701,1996/04/17
768,1996/04/18
728,1996/04/19
704,1996/04/20
657,1996/04/21
781,1996/04/22
774,1996/04/23
736,1996/04/24
737,1996/04/25
773,1996/04/26
740,1996/04/27
686,1996/04/28
806,1996/04/29
768,1996/04/30
680,1996/05/01
796,1996/05/02
799,1996/05/03
733,1996/05/04
680,1996/05/05
732,1996/05/06
774,1996/05/07
783,1996/05/08
811,1996/05/09
813,1996/05/10
747,1996/05/11
680,1996/05/12
766,1996/05/13
748,1996/05/14
746,1996/05/15
739,1996/05/16
791,1996/05/17
866,1996/05/18
816,1996/05/19
842,1996/05/20
749,1996/05/21
828,1996/05/22
753,1996/05/23
761,1996/05/24
677,1996/05/25
635,1996/05/26
682,1996/05/27
830,1996/05/28
848,1996/05/29
743,1996/05/30
685,1996/05/31
618,1996/06/01
652,1996/06/02
747,1996/06/03
819,1996/06/04
881,1996/06/05
779,1996/06/06
851,1996/06/07
849,1996/06/08
836,1996/06/09
901,1996/06/10
920,1996/06/11
963,1996/06/12
979,1996/06/13
967,1996/06/14
900,1996/06/15
895,1996/06/16
962,1996/06/17
997,1996/06/18
913,1996/06/19
997,1996/06/20
962,1996/06/21
897,1996/06/22
865,1996/06/23
956,1996/06/24
975,1996/06/25
1003,1996/06/26
914,1996/06/27
894,1996/06/28
765,1996/06/29
777,1996/06/30
911,1996/07/01
930,1996/07/02
943,1996/07/03
953,1996/07/04
979,1996/07/05
937,1996/07/06
874,1996/07/07
897,1996/07/08
879,1996/07/09
894,1996/07/10
897,1996/07/11
921,1996/07/12
890,1996/07/13
806,1996/07/14
842,1996/07/15
812,1996/07/16
824,1996/07/17
819,1996/07/18
903,1996/07/19
835,1996/07/20
672,1996/07/21
777,1996/07/22
814,1996/07/23
829,1996/07/24
774,1996/07/25
818,1996/07/26
796,1996/07/27
715,1996/07/28
877,1996/07/29
